Topic	Difficulty	Source2020S	Source2020W	CompletedBy	QuestionType	Instructions_latex	Data1_latex	Data2_latex	Image1	Image1Caption	Image2	Image2Caption	ImageArrangement	Notes	Omit?	Instructor_comments
		n/a	Week 2 Handout, Part I, Question 7	2020-09-18		Is this question about phonetics or phonology, and why?	How would you describe the difference between the vowel in the word <heat> and the vowel in the word <hat>?									
		n/a	Week 2 Handout, Part I, Question 8	2020-09-18	signlanguage	Is this question about phonetics or phonology, and why?	Consider the following two words from American Sign Language. The first one means LUCKY, while the second means SMART. How would you describe the difference between the ``pronunciation'' (articulation) of these two words? Note that in each case, the image to the left is the starting position of the sign, while the one to the right is the ending position.		asl_lucky.png		asl_smart.png					
		n/a	Week 2 Handout, Part I, Question 9	2020-09-18		Is this question about phonetics or phonology, and why?	Which is louder, the vowel sound [ah] or the consonant sound [f]? Why do you think that is?									
		n/a	Week 2 Handout, Part I, Question 10	2020-09-18		Is this question about phonetics or phonology, and why?	Consider the following pairs of words. In each pair, if you had to pick one of the two words for the name of a new product in English, which would you pick, and why? \begin{itemize} \item <bnick> or <blick> \item <rmagl> or <glarm> \item <ngitf> or <sfing> \end{itemize}									
		n/a	Week 2 Handout, Part I, Question 11	2020-09-18		Is this question about phonetics or phonology, and why?	In a word like ``syllable'' there is a main stress on the first syllable of the word. Where do you think the main stress would go in each of the following words? What are the possible choices? How does the pronunciation of the words change with different stress patterns? \begin{itemize} \item Pataskala (a town in Ohio) \item Menomini (an Algonquin language spoken by the Menomini people of northern Wisconsin) \item allophony \item Chickasha (a town in Wisconsin) \end{itemize}									
		n/a	Week 2 Handout, Part I, Question 12	2020-09-18		Is this question about phonetics or phonology, and why?	What’s the difference in sound between the words <but> and <cut> in English? Is that the same difference as between <bit> and <kit>? Why or why not?									
		n/a	Week 2 Handout, Part I, Question 14	2020-09-18		Is this question about phonetics or phonology, and why?	What are some characteristics of Canadian English that make it sound different from other varieties of English? To get you started: think about words such as <Toronto>, <house>, <light>, <tomorrow>, <hashtag>, <decal>, <vase>, <been>, <against>, or <avocado>.									
Articulatory Phonetics	hard	Day 2 Discussion	Week 2 Discussion	2020-09-18	signlanguage	Explain why it's possible to say that signed languages have articulatory phonetics.										
Transcription		n/a	Quiz 1, Question 10	2020-09-15		Explain whether this word either does or does not have an [ʃ] sound in it, and why the spelling and pronunciation either do or do not align.	<shoe>									
Transcription		n/a	Quiz 1, Question 10	2020-09-15		Explain whether this word either does or does not have an [ʃ] sound in it, and why the spelling and pronunciation either do or do not align.	<lotion>									
Transcription		n/a	Quiz 1, Question 10	2020-09-15		Explain whether this word either does or does not have an [ʃ] sound in it, and why the spelling and pronunciation either do or do not align.	<facial>									
Transcription		n/a	Quiz 1, Question 10	2020-09-15		Explain whether this word either does or does not have an [ʃ] sound in it, and why the spelling and pronunciation either do or do not align.	<sure>									
Transcription		n/a	Quiz 1, Question 10	2020-09-15		Explain whether this word either does or does not have an [ʃ] sound in it, and why the spelling and pronunciation either do or do not align.	<passion>									
Transcription		n/a	Quiz 1, Question 10	2020-09-15		Explain whether this word either does or does not have an [ʃ] sound in it, and why the spelling and pronunciation either do or do not align.	<mishandle>									
Transcription		n/a	Quiz 1, Question 10	2020-09-15		Explain whether this word either does or does not have an [ʃ] sound in it, and why the spelling and pronunciation either do or do not align.	<super>									
Transcription		n/a	Quiz 1, Question 10	2020-09-15		Explain whether this word either does or does not have an [ʃ] sound in it, and why the spelling and pronunciation either do or do not align.	<maniacal>									
Transcription		n/a	Quiz 1, Question 10	2020-09-15		Explain whether this word either does or does not have an [ʃ] sound in it, and why the spelling and pronunciation either do or do not align.	<bassoon>									
Transcription		n/a	Quiz 1, Question 10	2020-09-15		Explain whether this word either does or does not have an [ʃ] sound in it, and why the spelling and pronunciation either do or do not align.	<meticulous>									
Articulatory Phonetics		n/a	Quiz 1, Question 12	2020-09-15		Explain what this diagram tells you about the articulation of sounds.			spreadglottis_diagram.png							
Articulatory Phonetics		n/a	Week 2 Handout, Part I, Question 12	2020-09-18		Explain in what sense the difference between the sounds in the words <but> and <cut> is SIMILAR to and also DIFFERENT from the difference between the sounds in the words <bit> and <kit>.										
Transcription	easy	Day 2 Handout, Part I, Question 2	Week 2 Handout, Part II, Question 2	2020-09-18		Explain why people might legitimately disagree about how many sounds this particular word contains.	<how>									
Transcription	easy	Day 2 Handout, Part I, Question 2	Week 2 Handout, Part II, Question 2	2020-09-18		Explain why people might legitimately disagree about how many sounds this particular word contains.	<tiny>									
Transcription	easy	Day 2 Handout, Part I, Question 2	Week 2 Handout, Part II, Question 2	2020-09-18		Explain why people might legitimately disagree about how many sounds this particular word contains.	<goat>									
Transcription	easy	Day 2 Handout, Part I, Question 2	Week 2 Handout, Part II, Question 2	2020-09-18		Explain why people might legitimately disagree about how many sounds this particular word contains.	<those>									
Transcription	easy	Day 2 Handout, Part I, Question 2	Week 2 Handout, Part II, Question 2	2020-09-18		Explain why people might legitimately disagree about how many sounds this particular word contains.	<flowers>									
Transcription	easy	Day 2 Handout, Part I, Question 2	Week 2 Handout, Part II, Question 2	2020-09-18		Explain why people might legitimately disagree about how many sounds this particular word contains.	<girls>									
Transcription	easy	Day 2 Handout, Part I, Question 2	Week 2 Handout, Part II, Question 2	2020-09-18		Explain why people might legitimately disagree about how many sounds this particular word contains.	<find>									
Transcription	easy	Day 2 Handout, Part I, Question 2	Week 2 Handout, Part II, Question 2	2020-09-18		Explain why people might legitimately disagree about how many sounds this particular word contains.	<they>									
Transcription	easy	Day 2 Handout, Part I, Question 3	Week 2 Handout, Part II, Question 3	2020-09-18		Explain why people might legitimately disagree about how many sounds this particular word contains.	<soap>									
Transcription	easy	Day 2 Handout, Part I, Question 3	Week 2 Handout, Part II, Question 3	2020-09-18		Explain why people might legitimately disagree about how many sounds this particular word contains.	<curtain>									
Transcription	easy	Day 2 Handout, Part I, Question 3	Week 2 Handout, Part II, Question 3	2020-09-18		Explain why people might legitimately disagree about how many sounds this particular word contains.	<better>									
Transcription	easy	Day 2 Handout, Part I, Question 3	Week 2 Handout, Part II, Question 3	2020-09-18		Explain why people might legitimately disagree about how many sounds this particular word contains.	<worse>									
Transcription	easy	Day 2 Handout, Part I, Question 3	Week 2 Handout, Part II, Question 3	2020-09-18		Explain why people might legitimately disagree about how many sounds this particular word contains.	<burger>									
Transcription	easy	Day 2 Handout, Part I, Question 3	Week 2 Handout, Part II, Question 3	2020-09-18		Explain why people might legitimately disagree about how many sounds this particular word contains.	<rice>									
Transcription	medium	Day 2 Handout, Part I, Question 11	Week 2 Handout, Part II, Question 11	2020-09-18		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<hit>							too easy	omit	[hɪt]
Transcription	medium	Day 2 Handout, Part I, Question 11	Week 2 Handout, Part II, Question 11	2020-09-18		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<nice>									[nɑɪs]
Transcription	medium	Day 2 Handout, Part I, Question 11	Week 2 Handout, Part II, Question 11	2020-09-18		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<frog>									[fɹɑɡ]
Transcription	medium	Day 2 Handout, Part I, Question 11	Week 2 Handout, Part II, Question 11	2020-09-18		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<cough>									[kɑf]
Transcription	medium	Day 2 Handout, Part I, Question 11	Week 2 Handout, Part II, Question 11	2020-09-18		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<juice>									[dʒus]
Transcription	medium	Day 2 Handout, Part I, Question 11	Week 2 Handout, Part II, Question 11	2020-09-18		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<wealth>									[wɛlθ]
Transcription	medium	Day 2 Handout, Part I, Question 11	Week 2 Handout, Part II, Question 11	2020-09-18		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<beach>							transcription too similar to 'bitch'	omit	[bitʃ]
Transcription	medium	Day 2 Handout, Part I, Question 11	Week 2 Handout, Part II, Question 11	2020-09-18		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<toy>									[tɔɪ]
Transcription	medium	Day 2 Handout, Part I, Question 11	Week 2 Handout, Part II, Question 11	2020-09-18		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<finger>									[fɪŋɡɹ̩]
Transcription	medium	Day 2 Handout, Part I, Question 11	Week 2 Handout, Part II, Question 11	2020-09-18		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<little>									[lɪɾl̩]
Transcription	medium	Day 2 Handout, Part I, Question 11	Week 2 Handout, Part II, Question 11	2020-09-18		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<vacuum>									[vækjum]
Transcription	medium	Day 2 Handout, Part I, Question 11	Week 2 Handout, Part II, Question 11	2020-09-18		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<bird>									[bɹ̩d]
Transcription	medium	Day 2 Handout, Part I, Question 11	Week 2 Handout, Part II, Question 11	2020-09-18		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<segment>									[sɛɡmɛnt]
Transcription	medium	Day 2 Handout, Part I, Question 11	Week 2 Handout, Part II, Question 11	2020-09-18		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<square>									[skweɪɹ]
Transcription	medium	Day 2 Handout, Part I, Question 11	Week 2 Handout, Part II, Question 11	2020-09-18		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<puny>							in published sample exam LING200MT_sampleexam1.pdf	omit	[pjuni]
Transcription	medium	Day 2 Handout, Part I, Question 11	Week 2 Handout, Part II, Question 11	2020-09-18		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<goat>									[ɡoʊt]
Transcription	hard	Day 2 Handout	Week 2 Handout, Part II	2020-09-18		Is this a reasonable transcription of this word? Explain why.	<mouse>: [mɔɪs]									no, [ɑʊ]
Transcription	hard	Day 2 Handout	Week 2 Handout, Part II	2020-09-18		Is this a reasonable transcription of this word? Explain why.	<loud>: [lɑud]									okay, but [ɑʊ]
Transcription	hard	Day 2 Handout	Week 2 Handout, Part II	2020-09-18		Is this a reasonable transcription of this word? Explain why.	<philosophy>: [fəlɑsəfi]									yes
Transcription	hard	Day 2 Handout	Week 2 Handout, Part II	2020-09-18		Is this a reasonable transcription of this word? Explain why.	<choose>: [t͡ʃuz]									yes
Transcription	hard	Day 2 Handout	Week 2 Handout, Part II	2020-09-18		Is this a reasonable transcription of this word? Explain why.	<wimp>: [wimp]									no, [ɪ]
Transcription	hard	Day 2 Handout	Week 2 Handout, Part II	2020-09-18		Is this a reasonable transcription of this word? Explain why.	<paid>: [peid]									okay, but [eɪ]
Transcription	hard	Day 2 Handout	Week 2 Handout, Part II	2020-09-18		Is this a reasonable transcription of this word? Explain why.	<climb>: [klɑɪm]									yes
Transcription	hard	Day 2 Handout	Week 2 Handout, Part II	2020-09-18		Is this a reasonable transcription of this word? Explain why.	<shows>: [ʃoʊs]									no, [z]
Transcription	hard	Day 2 Handout	Week 2 Handout, Part II	2020-09-18		Is this a reasonable transcription of this word? Explain why.	<mine>: [mɑɪn]									yes
Transcription	hard	Day 2 Handout	Week 2 Handout, Part II	2020-09-18		Is this a reasonable transcription of this word? Explain why.	<health>: [hɛlð]									no, [θ]
Articulatory Phonetics	medium	Day 2 Discussion	Week 3 Discussion	2020-09-25		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[æ]									no
Articulatory Phonetics	medium	Day 2 Discussion	Week 3 Discussion	2020-09-25		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[ɑ]									no
Articulatory Phonetics	medium	Day 2 Discussion	Week 3 Discussion	2020-09-25		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[i]									yes
Articulatory Phonetics	medium	Day 2 Discussion	Week 3 Discussion	2020-09-25		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[u]									yes
Articulatory Phonetics	medium	Day 2 Discussion	Week 3 Discussion	2020-09-25		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[ɛ]									yes
Articulatory Phonetics	medium	Day 2 Discussion	Week 3 Discussion	2020-09-25		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[ɔ]									yes
Articulatory Phonetics		n/a	Week 3 Discussion	2020-09-25		Describe what the tongue would do / where it would move during each of the vowels in this word.										
Articulatory Phonetics		n/a	Week 3 Discussion	2020-09-25		Describe what the tongue would do / where it would move during each of the vowels in this word.										
Articulatory Phonetics		n/a	Week 3 Discussion	2020-09-25		Describe what the tongue would do / where it would move during each of the vowels in this word.										
Articulatory Phonetics		n/a	Week 3 Discussion	2020-09-25		Describe what the tongue would do / where it would move during each of the vowels in this word.										
Articulatory Phonetics		n/a	Week 3 Discussion	2020-09-25		Describe what the tongue would do / where it would move during each of the vowels in this word.										
Articulatory Phonetics		n/a	Week 3 Discussion	2020-09-25		Describe what the tongue would do / where it would move during each of the vowels in this word.										
						MORE OF THE ABOVE?										
Articulatory Phonetics	medium	Quiz 2, Question 6	Quiz 2, Question 6	2020-09-22		In the pronunciation of this word, which sounds are obstruents and which are sonorants?	<sonorant>									[sɔnoɹənt] -- sonorants: [ɔnoɹən] and obstruents: [st]
Articulatory Phonetics	medium	Quiz 2, Question 6	Quiz 2, Question 6	2020-09-22		In the pronunciation of this word, which sounds are obstruents and which are sonorants?	<obstruent>									[ɑbstɹuənt] -- sonorants: [ɑɹuən] and obstruents: [bstt]
Articulatory Phonetics	medium	Quiz 2, Question 6	Quiz 2, Question 6	2020-09-22		In the pronunciation of this word, which sounds are obstruents and which are sonorants?	<minimal>								omit	[mɪnɪməl] -- sonorants: (all of them)
Articulatory Phonetics	medium	Quiz 2, Question 6	Quiz 2, Question 6	2020-09-22		In the pronunciation of this word, which sounds are obstruents and which are sonorants?	<language>									[læŋɡwɪdʒ] -- sonorants: [læŋwɪ] and obstruents: [ɡdʒ]
Articulatory Phonetics	medium	Quiz 2, Question 6	Quiz 2, Question 6	2020-09-22		In the pronunciation of this word, which sounds are obstruents and which are sonorants?	<fricative>									[fɹɪkətɪv] -- sonorants: [ɹɪəɪ] and obstruents: [fktv]
Articulatory Phonetics	medium	Quiz 2, Question 7	Quiz 2, Question 7	2020-09-22		Why might more than one of the descriptions given truthfully apply to the sound represented by the underlined letter, and why is one of them actually better than the other?	<a\underline{w}ay>	\begin{itemize} \item prevocalic obstruent \item prevocalic sonorant \item postvocalic obstruent \item postvocalic sonorant \item intervocalic obstruent \item intervocalic sonorant \end{itemize}								prevocalic and *intervocalic* sonorant
Articulatory Phonetics	medium	Quiz 2, Question 7	Quiz 2, Question 7	2020-09-22		Why might more than one of the descriptions given truthfully apply to the sound represented by the underlined letter, and why is one of them actually better than the other?	<o\underline{p}en>	\begin{itemize} \item prevocalic obstruent \item prevocalic sonorant \item postvocalic obstruent \item postvocalic sonorant \item intervocalic obstruent \item intervocalic sonorant \end{itemize}						in published sample exam LING200MT_sampleexam1.pdf	omit	prevocalic and *intervocalic* obstruent
Other (pre-midterm)	easy	Quiz 2, Question 11			morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<Eiffel> (as in Eiffel Tower)									
Other (pre-midterm)	easy	Quiz 2, Question 11			morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<disobeyed>									
Other (pre-midterm)	easy	Quiz 2, Question 11			morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<eyeglasses>									
Other (pre-midterm)	easy	Quiz 2, Question 11			morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<island>									
Other (pre-midterm)	easy	Quiz 2, Question 11			morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<eyes>									
Other (pre-midterm)	easy	Quiz 2, Question 11			morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<eyeful>									
Other (pre-midterm)	easy	Quiz 2, Question 11			morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<spyglass>									
Articulatory Phonetics		n/a	Week 3 Handout, Question 3	2020-09-25		Explain why the additional vowel below does not belong in the natural class defined by the original set of SNAE vowels.	Original set: [æ], [ɑ]	Addition: [oʊ]								
Articulatory Phonetics		n/a	Week 3 Handout, Question 3	2020-09-25		Explain why the additional vowel below does not belong in the natural class defined by the original set of SNAE vowels.	Original set: [u], [ʊ], [oʊ], [ɔ]	Addition: [ɑ]								
Articulatory Phonetics		n/a	Week 3 Handout, Question 3	2020-09-25		Explain why the additional vowel below does not belong in the natural class defined by the original set of SNAE vowels.	Original set: [ɛ], [ɪ], [ʊ], [ɔ]	Addition: [æ]								
Articulatory Phonetics	hard	n/a	Week 3 Handout, Question 5	2020-09-25		Based on this data, explain why it would be reasonable to have two different predictions for whether [b] or [k] would occur in the context [_ɑt] in Phonologese.	\begin{itemize} \item [bido] \item [benɑ] \item [kulɑ] \item [koni] \end{itemize}									
Articulatory Phonetics	hard	Day 2 Handout, Part II, Question 5	Week 3 Handout, Question 5	2020-09-25		Based on this data, explain how the concept of natural classes helps us be able to make predictions about whether new words in this language would start with [b] or [k].	\begin{itemize} \item [bido] \item [benɑ] \item [kulɑ] \item [koni] \end{itemize}									
Articulatory Phonetics	hard	Day 2 Handout, Part II, Question 6	Week 3 Handout, Question 6	2020-09-25		Based on this data, explain how the concept of natural classes helps us be able to make predictions about whether new words in this language would start with [b] or [k].	\begin{itemize} \item [budo] \item [bɪne] \item [kilɑ] \item [kɑno] \end{itemize}									
Articulatory Phonetics	easy	Day 2 Handout, Part II, Question 7	Week 3 Handout, Question 7	2020-09-25		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not?	[n]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								no (voiced alveolar nasal)
Articulatory Phonetics	easy	Day 2 Handout, Part II, Question 7	Week 3 Handout, Question 7	2020-09-25		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not?	[h]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								yes (voiceless glottal fricative)
Articulatory Phonetics	easy	Day 2 Handout, Part II, Question 7	Week 3 Handout, Question 7	2020-09-25		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not?	[v]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								yes (voiced labiodental fricative)
Articulatory Phonetics	easy	Day 2 Handout, Part II, Question 7	Week 3 Handout, Question 7	2020-09-25		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not?	[θ]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								no (voiceless interdental fricative)
Articulatory Phonetics	easy	Day 2 Handout, Part II, Question 7	Week 3 Handout, Question 7	2020-09-25		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not?	[ʃ]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								no (voiceless palatal fricative)
Articulatory Phonetics	easy	Day 2 Handout, Part II, Question 7	Week 3 Handout, Question 7	2020-09-25		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not?	[ʒ]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								yes (voiced palatal fricative)
Articulatory Phonetics	easy	Day 2 Handout, Part II, Question 7	Week 3 Handout, Question 7	2020-09-25		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not?	[t͡ʃ]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								yes (voiceless palatal affricate)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9	Week 3 Handout, Question 9	2020-09-25		Explain how to figure out what the sound being produced is in this diagram.			sagittal_k.png					used as example	omit	[k] (check voicing, place, manner, and velum)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9	Week 3 Handout, Question 9	2020-09-25		Explain how to figure out what the sound being produced is in this diagram.			sagittal_t.png							[t] (check voicing, place, manner, and velum)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9	Week 3 Handout, Question 9	2020-09-25		Explain how to figure out what the sound being produced is in this diagram.			sagittal_m.png							[m] (check voicing, place, manner, and velum)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9	Week 3 Handout, Question 9	2020-09-25		Explain how to figure out what the sound being produced is in this diagram.			sagittal_eth.png							[ð] (check voicing, place, manner, and velum)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9	Week 3 Handout, Question 9	2020-09-25		Explain how to figure out what the sound being produced is in this diagram.			sagittal_p.png							[p] (check voicing, place, manner, and velum)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9	Week 3 Handout, Question 9	2020-09-25		Explain how to figure out what the sound being produced is in this diagram.			sagittal_z.png							[z] (check voicing, place, manner, and velum)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 13	Week 3 Handout, Question 13	2020-09-25	signlanguage	Explain why this image does or does not match the description.	\begin{itemize} \item A two-handed sign. \item Location: In front of signer’s chin. \item Handshape: Starts with an “L” shape; index finger and thumb come together during the sign. \item Movement: Hands start crossed and then move away from each other horizontally. \end{itemize}		taiwansign_fit.png	FIT						no; hands don't start crossed, and handshape change is wrong
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 13	Week 3 Handout, Question 13	2020-09-25	signlanguage	Explain why this image does or does not match the description.	\begin{itemize} \item A two-handed sign. \item Location: In front of signer’s chin. \item Handshape: Starts with an “L” shape; distal joints of index fingers fold in during the sign. \item Movement: Hands start apart and then move straight toward each other horizontally. \end{itemize}		taiwansign_consistent.png	CONSISTENT						no; hands don't start apart, and handshape change is wrong
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 13	Week 3 Handout, Question 13	2020-09-25	signlanguage	Explain why this image does or does not match the description.	\begin{itemize} \item A one-handed sign. \item Location: At the signer’s nose. \item Handshape: Starts with index finger extended; finger folds down into a “hook” shape during the sign; then straightens and repeats the folding. \item Movement: No movement other than the change in handshape. \end{itemize}		taiwansign_wrong.png	WRONG						no; handshape is wrong
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 13	Week 3 Handout, Question 13	2020-09-25	signlanguage	Explain why this image does or does not match the description.	\begin{itemize} \item A one-handed sign. \item Location: In front of signer’s chin. \item Handshape: Starts with an “L” shape; proximal joint of index finger folds down during the sign. \item Movement: Hand starts on far side of signer’s body and moves horizontally straight across. \end{itemize}		taiwansign_jealous.png	JEALOUS						no; handshape and movement are wrong
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 13	Week 3 Handout, Question 13	2020-09-25	signlanguage	Explain why this image does or does not match the description.	\begin{itemize} \item A one-handed sign. \item Location: At the signer’s nose. \item Handshape: Starts with index and middle finger crossed; the two fingers separate during the sign. \item Movement: No movement other than the change in handshape. \end{itemize}		taiwansign_thing.png	THING						no; location, movement, and handshape are all wrong
Articulatory Phonetics	hard	Homework 1, Question 3(a)	Homework 1, Question 3(a)	2020-09-25		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[d]		staticpalatography_fricative.png							no; space
Articulatory Phonetics	hard	Homework 1, Question 3(a)	Homework 1, Question 3(a)	2020-09-25		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[z]		staticpalatography_fricative.png							yes
Articulatory Phonetics	hard	Homework 1, Question 3(a)	Homework 1, Question 3(a)	2020-09-25		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[n]		staticpalatography_stop.png							yes
Articulatory Phonetics	hard	Homework 1, Question 3(a)	Homework 1, Question 3(a)	2020-09-25		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[t͡ʃ]		staticpalatography_stop.png							yes
Articulatory Phonetics	hard	Homework 1, Question 3(a)	Homework 1, Question 3(a)	2020-09-25		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[t͡ʃ]		staticpalatography_fricative.png							no
