Topic	Difficulty	Source	QuestionType	Instructions_latex	Data1_latex	Data2_latex	Image1	Image1Caption	Image2	Image2Caption	ImageArrangement	Notes	Omit?	Instructor_comments
Articulatory Phonetics	hard	Day 2 Handout, Part II, Question 5		Based on this data, explain how the concept of natural classes helps us be able to make predictions about whether new words in this language would start with [b] or [k].	\begin{itemize} \item [bido] \item [benɑ] \item [kulɑ] \item [koni] \end{itemize}									
Articulatory Phonetics	hard	Day 2 Handout, Part II, Question 6		Based on this data, explain how the concept of natural classes helps us be able to make predictions about whether new words in this language would start with [b] or [k].	\begin{itemize} \item [budo] \item [bɪne] \item [kilɑ] \item [kɑno] \end{itemize}									
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 7		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not?	[n]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								no (voiced alveolar nasal)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 7		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not?	[h]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								yes (voiceless glottal fricative)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 7		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not?	[v]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								yes (voiced labiodental fricative)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 7		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not?	[θ]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								no (voiceless interdental fricative)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 7		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not?	[ʃ]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								no (voiceless palatal fricative)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 7		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not?	[ʒ]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								yes (voiced palatal fricative)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 7		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not?	[t͡ʃ]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								yes (voiceless palatal affricate)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9		Explain how to figure out what the sound being produced is in this diagram.			sagittal_k.png					used as example	omit	[k] (check voicing, place, manner, and velum)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9		Explain how to figure out what the sound being produced is in this diagram.			sagittal_t.png							[t] (check voicing, place, manner, and velum)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9		Explain how to figure out what the sound being produced is in this diagram.			sagittal_m.png							[m] (check voicing, place, manner, and velum)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9		Explain how to figure out what the sound being produced is in this diagram.			sagittal_eth.png							[ð] (check voicing, place, manner, and velum)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9		Explain how to figure out what the sound being produced is in this diagram.			sagittal_p.png							[p] (check voicing, place, manner, and velum)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9		Explain how to figure out what the sound being produced is in this diagram.			sagittal_z.png							[z] (check voicing, place, manner, and velum)
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 13	signlanguage	Explain why this image does or does not match the description.	\begin{itemize} \item A two-handed sign. \item Location: In front of signer’s chin. \item Handshape: Starts with an “L” shape; index finger and thumb come together during the sign. \item Movement: Hands start crossed and then move away from each other horizontally. \end{itemize}		taiwansign_fit.png	FIT						no; hands don't start crossed, and handshape change is wrong
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 13	signlanguage	Explain why this image does or does not match the description.	\begin{itemize} \item A two-handed sign. \item Location: In front of signer’s chin. \item Handshape: Starts with an “L” shape; distal joints of index fingers fold in during the sign. \item Movement: Hands start apart and then move straight toward each other horizontally. \end{itemize}		taiwansign_consistent.png	CONSISTENT						no; hands don't start apart, and handshape change is wrong
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 13	signlanguage	Explain why this image does or does not match the description.	\begin{itemize} \item A one-handed sign. \item Location: At the signer’s nose. \item Handshape: Starts with index finger extended; finger folds down into a “hook” shape during the sign; then straightens and repeats the folding. \item Movement: No movement other than the change in handshape. \end{itemize}		taiwansign_wrong.png	WRONG						no; handshape is wrong
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 13	signlanguage	Explain why this image does or does not match the description.	\begin{itemize} \item A one-handed sign. \item Location: In front of signer’s chin. \item Handshape: Starts with an “L” shape; proximal joint of index finger folds down during the sign. \item Movement: Hand starts on far side of signer’s body and moves horizontally straight across. \end{itemize}		taiwansign_jealous.png	JEALOUS						no; handshape and movement are wrong
Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 13	signlanguage	Explain why this image does or does not match the description.	\begin{itemize} \item A one-handed sign. \item Location: At the signer’s nose. \item Handshape: Starts with index and middle finger crossed; the two fingers separate during the sign. \item Movement: No movement other than the change in handshape. \end{itemize}		taiwansign_thing.png	THING						no; location, movement, and handshape are all wrong
Articulatory Phonetics	hard	Homework 1, Question 3(a)		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[d]		staticpalatography_fricative.png							no; space
Articulatory Phonetics	hard	Homework 1, Question 3(a)		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[z]		staticpalatography_fricative.png							yes
Articulatory Phonetics	hard	Homework 1, Question 3(a)		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[n]		staticpalatography_stop.png							yes
Articulatory Phonetics	hard	Homework 1, Question 3(a)		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[t͡ʃ]		staticpalatography_stop.png							yes
Articulatory Phonetics	hard	Homework 1, Question 3(a)		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[t͡ʃ]		staticpalatography_fricative.png							no
Articulatory Phonetics	hard	Homework 1, Question 3(a)		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[ɾ]		staticpalatography_stop.png							yes
Articulatory Phonetics	medium	Homework 1, Question 3(b)		Explain why this is or is not a complete natural class in standard North American English.	[p], [t], [k]							used as example	omit	no; voiceless stops include glottal stop
Articulatory Phonetics	medium	Homework 1, Question 3(b)		Explain why this is or is not a complete natural class in standard North American English.	[p], [b]									yes for bilabial plosives; (no) for bilabial stops (nasal?)
Articulatory Phonetics	medium	Homework 1, Question 3(b)		Explain why this is or is not a complete natural class in standard North American English.	[f], [s], [ʃ]									no; voiceless fricatives include [θ], [h]
Articulatory Phonetics	medium	Homework 1, Question 3(b)		Explain why this is or is not a complete natural class in standard North American English.	[b], [n], [ɡ], [ʒ], [v]									no; lots of other voiced consonants
Articulatory Phonetics	medium	Homework 1, Question 3(b)		Explain why this is or is not a complete natural class in standard North American English.	[f], [θ], [z], [h]									no; several fricatives missing
Articulatory Phonetics	medium	Homework 1, Question 3(b)		Explain why this is or is not a complete natural class in standard North American English.	[j], [w]									yes for voiced glides; [w̥] missing for glides
Articulatory Phonetics	medium	Homework 1, Question 3(b)		Explain why this is or is not a complete natural class in standard North American English.	[ɑ], [u]									no; several back vowels / back monophthongs missing
Articulatory Phonetics	medium	Homework 1, Question 3(b)		Explain why this is or is not a complete natural class in standard North American English.	[ɔ], [ʊ], [u], [oʊ]									yes (all back rounded vowels)
Articulatory Phonetics	medium	Homework 1, Question 3(b)		Explain why this is or is not a complete natural class in standard North American English.	[i], [u], [eɪ]									no; [oʊ] missing for tense vowels
Other	medium	Day 4 Handout, Question 2(iii)	morphology	Explain how you would figure out the meaning of this Swahili word.	[alikusumbua]		swahiliverbs.png							(he/she annoyed you (sg.))
Other	medium	Day 4 Handout, Question 2(iii)	morphology	Explain how you would figure out the meaning of this Swahili word.	[tunampenda]		swahiliverbs.png							(we like him/her)
Other	medium	Day 4 Handout, Question 2(iii)	morphology	Explain how you would figure out the meaning of this Swahili word.	[umefika]		swahiliverbs.png							(you (sg.) have arrived)
Other	medium	Day 4 Handout, Question 2(iii)	morphology	Explain how you would figure out the meaning of this Swahili word.	[watanipiɡa]		swahiliverbs.png							(they will beat me)
Other	medium	Day 4 Handout, Question 2(iv)	morphology	Explain how you would figure out the Swahili word for this English gloss.	‘I like you (sg.).’		swahiliverbs.png							([ninakupenda])
Other	medium	Day 4 Handout, Question 2(iv)	morphology	Explain how you would figure out the Swahili word for this English gloss.	‘We have fallen down.’		swahiliverbs.png							([tumeaŋɡuka])
Other	medium	Day 4 Handout, Question 2(iv)	morphology	Explain how you would figure out the Swahili word for this English gloss.	‘She will beat us.’		swahiliverbs.png							([atatupiga])
Other	medium	Day 4 Handout, Question 2(iv)	morphology	Explain how you would figure out the Swahili word for this English gloss.	‘You (sg.) are annoying me.’		swahiliverbs.png							([unanisumbua])
Other	medium	Day 4 Handout, Question 2(iv)	morphology	Explain how you would figure out the Swahili word for this English gloss.	‘They will pay him.’		swahiliverbs.png							([watamlipa])
Other	medium	Day 4 Handout, Question 2(iv)	morphology	Explain how you would figure out the Swahili word for this English gloss.	‘I wanted them.’		swahiliverbs.png							([niliwataka])
Skewed Distributions	medium	Quiz 3, Question 1		L$_X$ (Language X) has three vowels, [i], [a], and [u]. It has bi-syllabic roots like Kikuyu. It does not allow non-identical high vowels to co-occur. Of the following nine logically possible vocalic sequences, which ones should be unattested in L$_X$? Explain why.	\begin{itemize} \item [i...i] \item [i...a] \item [i...u] \item [a...i] \item [a...a] \item [a...u] \item [u...i] \item [u...a] \item [u...u] \end{itemize}									[i...u], [u...i]
Skewed Distributions	medium	Quiz 3, Question 2		L$_X$ has tri-syllabic roots. If L$_X$ does not allow non-identical high vowels to co-occur, which one of the following tri-syllabic vocalic sequences do you predict to be unattested in L$_X$? Explain why.	\begin{itemize} \item [u...i...a] \item [a...i...a] \item [u...u...a] \item [a...i...i] \end{itemize}									[u...i...a]
Skewed Distributions	medium	Quiz 3, Question 3		L$_X$ has tetra-syllabic roots. If L$_X$ does not allow non-identical high vowels to co-occur, which one of the following tetra-syllabic vocalic sequences do you predict to be unattested in L$_X$? Explain why.	\begin{itemize} \item [i...i...u...u] \item [a...a...i...i] \item [u...u...u...u] \item [i...i...i...a] \end{itemize}							in published sample exam LING200MT_sampleexam1.pdf	omit	[i...i...u...u]
Other	medium	Day 4 Handout, Question 3	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘first person singular subject’ (‘I’)		luiseno.png							([nóo])
Other	medium	Day 4 Handout, Question 3	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘first person plural object’ (‘us’)		luiseno.png							([tʃáami])
Other	medium	Day 4 Handout, Question 3	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘walk’		luiseno.png							([wukála])
Other	medium	Day 4 Handout, Question 3	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘want’		luiseno.png							([vitʃu])
Other	medium	Day 4 Handout, Question 3	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘present tense’		luiseno.png							([q])
Other	medium	Day 4 Handout, Question 3	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘third person masc. object’ (‘him’)		luiseno.png							([pój])
Other	medium	Day 4 Handout, Question 3	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘sun’ (or ‘the sun’)		luiseno.png							([temét])
Other	medium	Day 4 Handout, Question 3	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘drink’		luiseno.png							([páaʔi])
Other	medium	Day 4 Handout, Question 3	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘make / cause’		luiseno.png							([ni])
Other	medium	Day 4 Handout, Question 3	morphology	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below.	‘Future’		luiseno.png							([n])
Other	medium	Day 4 Discussion		Explain what we mean by saying that linguistic patterns are \underline{productive}.										
Phonological Relationships and Analysis	medium	Day 4 Discussion		Explain why we think that languages are not random in terms of their phonology.										
Skewed Distributions	medium	Day 5 Handout, Question 3		What evidence is there that there is a pattern in these data, assuming that these are the only CV and VC sequences that occur in some language?	[sa], [ʃi], [za], [ʒi], [as], [iʃ], [az], [iʒ]									(the palatal sounds occur with the high vowel, while the alveolar sounds occur with the low vowel)
Skewed Distributions	medium	Day 5 Handout, Question 5		How would you look for co-occurrence restrictions between [s] and the vowels that come after it in this dataset?			ukrainian.png							
Skewed Distributions	medium	Day 5 Handout, Question 6		What would be a good description of the pattern in Malto? What characteristics make that a good description?			malto.png					in published sample exam LING200MT_sampleexam1.pdf	omit	It is not possible to have stops of different places of articulation co-occurring in a single word. Instead, if there are two stops, both must be dental, or both must be retroflex. For example, it’s possible to have a word with two dental stops, as in [tot] ‘to hurry’ (even if they disagree in voicing, as in [tind] ‘to feed’), or a word with two retroflex stops, as in [ɖebɖe] ‘crooked’ (again, regardless of voicing, as in [ɖeʈa] ‘corn cob’). But there are no words that have one dental and one retroflex stop, in either order, regardless of voicing. (accurate, generalizations, concrete examples)
Other	easy	Quiz 4, Question 1		Explain why the following statement is false.	A phoneme can be defined as the smallest unit of sound that has a meaning.									
Phonological Relationships and Analysis	medium	Quiz 4, Question 5		What phonological relationships does this example show among the sounds [m], [n], and [ŋ], and why?			quiz4question5_a.png							contrast
Phonological Relationships and Analysis	medium	Quiz 4, Question 5		What phonological relationships does this example show among the sounds [m], [n], and [ŋ], and why?			quiz4question5_b.png							allophony
Phonological Relationships and Analysis	medium	Quiz 4, Question 5		What phonological relationships does this example show among the sounds [m], [n], and [ŋ], and why?			quiz4question5_c.png							contrast for [m] and [ŋ], but [n] doesn't occur
Phonological Relationships and Analysis	medium	Quiz 4, Question 5		What phonological relationships does this example show among the sounds [m], [n], and [ŋ], and why?			quiz4question5_d.png							contrast (with a few neutralizations)
Other	medium	Homework 2, Question 1	morphology	What would this Klingon phrase below be in English? How do you know?	[pɑdɑq]		klingon.png							‘in/on (the) room’
Other	medium	Homework 2, Question 1	morphology	What would this Klingon phrase below be in English? How do you know?	[vɑdʒqʰoqʰvɑm]		klingon.png							‘this so-called warrior’
Other	medium	Homework 2, Question 1	morphology	What would this Klingon phrase below be in English? How do you know?	[pɑqqʰoqʰvetɬvo]		klingon.png							‘from that so-called book’
Phonological Relationships and Analysis	medium	Homework 2, Question 2		Why should the following two questions have the same answer?	\begin{itemize} \item Given the vowel system of Jita, how many bi-syllabic root types would you expect to find for nouns in the language? \item Assuming that the vowel inventory is the same in verbs as it is in nouns, how many bisyllabic root types would you expect to find for verbs in the language? \end{itemize}							Decided that jita.png data is not actually necessary for this question.		
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 5		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[pʰ] and [f]		english_labials.png							contrastive; minimal pair
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 5		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[pʰ] and [p̚]		english_labials.png							free variation; pronunciation variants
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 6		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[l] and [ɾ]		korean.png							allophonic; complementary distribution
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[m] and [n]		canadianfrench.png							contrastive; [mu] ‘soft’ vs. [nu] ‘we’
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[f] and [v]		canadianfrench.png							contrastive; [fo] ‘false’ vs. [vo] ‘calf’
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[k] and [ɡ]		canadianfrench.png							contrastive; NEAR minimal pair; [evOk] ‘evoque’ vs. [vOg] ‘fashion’
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[d] and [n]		canadianfrench.png							contrastive; [do~] ‘donation’ vs. [no~] ‘no’
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[s] and [z]		canadianfrench.png							contrastive; [asyr] ‘assure’ vs. [azyr] ‘azure’
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 7		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[o] and [õ]		canadianfrench.png							contrastive; [do~] ‘donation’ vs. [do] ‘back’
Phonological Relationships and Analysis	medium	Day 6 Handout, Question 8		Explain how you would determine the phonological relationship between these two sounds (given below) in this dataset.	[t] and [k]		english_child.png					too hard	omit	contrast neutralization
