Topic	Difficulty	Source	QuestionType	Instructions_latex	Data1_latex	Data2_latex	Image1	Image1Caption	Image2	Image2Caption	ImageArrangement	Notes	Omit?	Instructor_comments
Acoustics	medium	Day 8 Handout, Question 7		Explain why each numbered, underlined statement is true or false. If it is false, explain one way that you could correct it.	Sound is an invisible phenomenon. Sound can travel through any substance, $^1$\ul{such as a liquid, solid, or a gas.} $^2$\ul{It involves the transfer of the matter in that substance} from one place to another.\\\\Sound is a particular kind of wave known as $^3$\ul{a compression wave}. $^4$\ul{When the molecules are really close together, we say they are ``rarefied'' and when they are really far apart, we say they are ``compressed.''}									1 - true.\\2 - false (it involves the transfer of energy... or anything about the matter itself not moving but only vibrating, etc). \\3 - true.\\4 - false (when the molecules are really close together, we say they are compressed and when the molecules are really far apart, we say they are rarefied).
Acoustics	medium	Day 8 Handout, Question 7		Explain why each numbered, underlined statement is true or false. If it is false, explain one way that you could correct it.	Sound is a particular kind of wave known as a compression wave.... $^6$\ul{When the molecules are really close together, they try to spread out as far as possible, and that’s why they move out as a wave.}\\\\There are several key components of a sound wave. The first is wavelength. $^7$\ul{Wavelength is the distance between the point of maximum rarefaction and the point of maximum compression in a wave.} Another component that is related to wavelength is $^8$\ul{frequency, or how many times a wave passes through a particular point in one second.} $^9$\ul{If the wavelength is really short, the frequency will be really high; if the wavelength is really long, the frequency will be really low.} 									6 - false (the molecules always try to stay an equal distance from each other, so they move apart when they are compressed and together when they are rarefied).\\7 - false (wavelength is the distance between two points of maximum compression or rarefaction in a wave).\\8 - true.\\9 - true.
Acoustics	medium	Day 8 Handout, Question 7		Explain why each numbered, underlined statement is true or false. If it is false, explain one way that you could correct it.	$^{10}$\ul{Frequency is inversely related to pitch: high frequencies correspond to low pitches, and low frequencies correspond to high pitches.} Finally, there is the amplitude of the wave. $^{11}$\ul{The amplitude tells you how much pressure the molecules are under at any particular time.} $^{12}$\ul{The auditory correlate of amplitude is intensity}; this is a measure of perceived pressure.\\\\$^{13}$\ul{In speech, air is set in vibrating motion by the lungs, so the lungs} are the source of most speech sounds.									10 - false (frequency is directly related to pitch: high frequencies correspond to high pitches, and low frequencies correspond to low pitches).\\11 - true.\\12 - false (the auditory correlate of amplitude and intensity is loudness/volume, or, a related acoustic measure to amplitude is intensity).\\13 - false (air is set in vibrating motion by the vocal folds).
Acoustics	medium	Day 8 Handout, Question 7		Explain why each numbered, underlined statement is true or false. If it is false, explain one way that you could correct it.	In speech, air is set in vibrating motion by the lungs, so the lungs are the source of most speech sounds. $^{14}$\ul{The basic rate of vibration is called the fundamental frequency}; $^{15}$\ul{the fundamental frequency is also known as the timbre of the voice.} In addition to the source, we can also talk about a filter: $^{16}$\ul{the vocal folds act as a filter to shape the air from the lungs into the sounds we hear as different.} $^{17}$\ul{The mouth and nose act as resonance chambers}, and these also affect the qualities of the sounds.									14 - true.\\15 - false (the fundamental frequency is also known as the pitch of the voice, or F0).\\16 - false (the mouth and nose act as a filter to shape the air from the vocal folds in the sounds we hear as different, or vocal tract, or articulatory and resonance chambers, etc).\\17 - true.
Acoustics	medium	Day 8 Handout, Question 7		Explain why each numbered, underlined statement is true or false. If it is false, explain one way that you could correct it.	We can visualize speech through the use of spectra and spectrograms. $^{18}$\ul{A spectrogram shows frequency on the horizontal axis and amplitude on the vertical axis.} $^{19}$\ul{A spectrum, on the other hand, shows frequency on the vertical axis and time along the horizontal axis}.\\\\$^{20}$\ul{On a spectrogram, the dark bars are called formants.} $^{21}$\ul{The formants correspond to the amplitude peaks on a spectrum.}									18 - false (A spectrum shows frequency on the horizontal axis and amplitude on the vertical axis, or, a spectrogram shows frequency on the vertical axis and time along the horizontal axis).\\19 - false (A spectrum shows frequency on the horizontal axis and amplitude on the vertical axis, or, a spectrogram shows frequency on the vertical axis and time along the horizontal axis).\\20 - true.\\21 - true.
Acoustics	medium	Day 8 Handout, Question 7		Explain why each numbered, underlined statement is true or false. If it is false, explain one way that you could correct it.	We can look at the vertical location of the formants to determine something about the characteristics of individual speech sounds. For example, in the two spectrograms below, we can see that $^{22}$\ul{the first formant is higher in the spectrogram for sound 1 than it is for sound 2.} Because $^{23}$\ul{F1 is directly correlated with vowel height}, we know that $^{24}$\ul{the vowel pictured in sound 1 is a higher vowel than the one in sound 2}. For example, $^{25}$\ul{sound 1 might be an [ɑ] while sound 2 might be an [i].}		sound1a_sound2i.png							22 - true. \\23 - false (F1 is inversely correlated with vowel height). \\24 - false (the vowel pictured in sound 1 is a lower vowel than the one in sound 2, or, the vowel pictured in sound 2 is a higher vowel than the one in sound 1).\\25 - true.
Alternations	easy	Quiz 7, Question 2		Explain why these statements about assimilation either are or are not true.	\begin{itemize} \item During assimilation, non-similar sounds become similar through changes in their articulatory properties. \item Assimilation must be total such that the non-similar sounds become identical. \end{itemize}							not really about alternations	omit	(1) True (2) False
Alternations	easy	Quiz 7, Question 2		Explain why these statements about assimilation either are or are not true.	\begin{itemize} \item Only place of articulation and voicing can be affected by assimilation processes. \item Assimilation is widely attested cross-linguistically. \end{itemize}							not really about alternations	omit	(1) False (2) True
Alternations	easy	Quiz 7, Question 2		Explain why these statements about assimilation either are or are not true.	\begin{itemize} \item The process is driven by articulatory factors, namely ease of articulation. \item Assimilation only applies to consonants. \end{itemize}							not really about alternations	omit	(1) True (2) False
Alternations	easy	Quiz 7, Question 2		Explain why these statements about assimilation either are or are not true.	\begin{itemize} \item The process is driven by language-specific, phonological factors. \item Assimilation may be partial in that the sounds become similar with respect to only one or two features. \end{itemize}							not really about alternations	omit	(1) False (2) True
Alternations	medium	Quiz 7, Question 8		Based on this data from Lamba, explain why the pair given below either does or does not show that the consonants preceding the morpheme for `with' are NOT responsible for the variation between [-il] and [-el].	čit-a \& čit-il-a		peng119_lamba.png							doesn't show this -- only the [il] form is shown, so we can't judge whether [il] ~ [el] is based on consonants or not
Alternations	medium	Quiz 7, Question 8		Based on this data from Lamba, explain why the pair given below either does or does not show that the consonants preceding the morpheme for `with' are NOT responsible for the variation between [-il] and [-el].	čet-el-a \& čit-il-a		peng119_lamba.png							does show this -- we see both [il] and [el], and they occur after the SAME preceding consonant, so the preceding consonant cannot be responsible
Alternations	medium	Quiz 7, Question 8		Based on this data from Lamba, explain why the pair given below either does or does not show that the consonants preceding the morpheme for `with' are NOT responsible for the variation between [-il] and [-el].	tul-il-a \& soŋk-el-a		peng119_lamba.png							doesn't show this -- we do see [il] and [el], but they occur after different consonants, so it COULD be the consonant that is responsible
Alternations	medium	Quiz 7, Question 8		Based on this data from Lamba, explain why the pair given below either does or does not show that the consonants preceding the morpheme for `with' are NOT responsible for the variation between [-il] and [-el].	pat-il-a \& tul-il-a		peng119_lamba.png							doesn't show this -- we only see [il], so we don't know if [el] can also occur in these environments or not
Alternations	easy	Day 9 Handout, Question 1		Explain why the concept of an alternation either is or is not useful for understanding this dataset.			korean.png							is useful -- root morphemes alternate, so we can decide which sounds we need to analyze
Alternations	easy	Day 9 Handout, Question 2		Explain why the concept of an alternation either is or is not useful for understanding this dataset.			osage.png							is not useful -- there are no alternations in this dataset, so we can't use them to figure out what sounds are relevant to analyse
Alternations	medium	Day 9 Handout, Question 3		Explain which morpheme(s) in this dataset alternate and how that helps you do a phonological analysis.			english_past.png							the past tense morpheme alternates, so we know we need to analyze the predictable occurrence of [t] vs. [d]
Alternations	medium	Day 9 Handout, Question 4		Explain which morpheme(s) in this dataset alternate and how that helps you do a phonological analysis.			japanese_verbs.png							each verb root alternates, so we know the sounds we need to analyze are the predictable occurrence of [s] and [ʃ]
Alternations	medium	Day 9 Handout, Question 5		Explain which morpheme(s) in this dataset alternate and how that helps you do a phonological analysis.			english_t_flap.png							some of the roots alternate (such as 'light'), so we know that we need to analyze the predictable occurrence of [t] vs. [flap]
Alternations	hard	Day 9 Handout, Question 6		What is the basic phonological analysis of this dataset, and what are the key pieces of evidence? [Note: you do not need to walk me through every step of the analysis; just state what the primary conclusion is for this dataset and why.]			samoan.png					provided a sample analysis for this dataset	omit	
Alternations	hard	Day 9 Handout, Question 7		What is the basic phonological analysis of this dataset, and what are the key pieces of evidence? [Note: you do not need to walk me through every step of the analysis; just state what the primary conclusion is for this dataset and why.]			russian.png					too hard (would be unfair if only some people get this)	omit	
Phonological Features	hard	Day 10 Discussion		Explain why phonological features are used instead of phonetic characteristics in analyzing datasets.										Phonological features help to capture phonological patterns, i.e., they group sounds together based on whether they do things like triggering a change or undergoing a change. Phonological features are sometimes language-specific. Phonetic characteristics are simply descriptions of the physical properties of the sounds; they are language-universal and independent of the patterns (though it turns out that many phonological patterns are based on phonetic characteristic groupings).
Phonological Features	easy	Quiz 8, Question 3		Explain why this featural specification either does or does not match the given sound.	[+consonantal], [-sonorant]	[f]								matches
Phonological Features	easy	Quiz 8, Question 3		Explain why this featural specification either does or does not match the given sound.	[+consonantal], [+sonorant]	[m]								matches
Phonological Features	easy	Quiz 8, Question 3		Explain why this featural specification either does or does not match the given sound.	[-consonantal], [-sonorant]	[u]								does not match: [u] is [-cons], but is [+son]
Phonological Features	medium	Quiz 8, Question 3		Explain why this featural specification either does or does not match the given sound.	[-consonantal], [+sonorant]	[h]								does not match: [h] is [-cons] but also [-son], because its constriction is in the larynx, not the vocal tract
Phonological Features	easy	Quiz 8, Question 6		Explain why this is an incorrect statement.	Nasal consonants are [+continuant], because you can continue to make the sound for a long period of time (until you run out of breath).									nasals are [-cont], because air cannot escape through the mouth
Phonological Features	easy	Quiz 8, Question 6		Explain why this is an incorrect statement.	Nasal consonants are [+continuant] because they lack a central occlusion in the vocal tract.									nasals are [-cont], because air cannot escape through the mouth (there is a central occlusion / blockage)
Phonological Features	easy	Quiz 8, Question 6		Explain why this is an incorrect statement.	Nasal consonants are [-continuant], because they cannot be produced for an extended period of time.									nasals are indeed [-cont], but they can be held for a long time -- it's just that air isn't coming from the mouth
Phonological Features	hard	Quiz 8, Question 12		Explain how you figure out which feature is involved in the process of umlaut.			dutch.png							we look to see which vowels are affected, and compare them to see which feature is DIFFERENT (not e.g. what features they share); so since the vowels in the singular and plural are identical except that the singular forms are back and the plural are front, it's the feature [back] that is relevant / changing / involved (not e.g. the feature [round] just because all of the vowels are round)
Phonological Features	medium	Day 10 Discussion		Explain what the given feature’s value is for this class of sounds, and why.	[approximant]	nasals						nasals		[-], because air can't escape through the mouth ([+approx] sounds have a narrowing in the vocal tract, but air escapes without friction)
Phonological Features	easy	Day 10 Discussion		Explain what the given feature’s value is for this class of sounds, and why.	[strident]	glides						glides		0, because [strident] applies only to obstruents, and glides are sonorants
Phonological Features	medium	Day 10 Discussion		Explain what the given feature’s value is for this class of sounds, and why.	[continuant]	glottals						glottals		0, because there is no constriction in the vocal tract for manner features to apply
Phonological Features	medium	Day 10 Discussion		Explain what the given feature’s value is for this class of sounds, and why.	[LABIAL]	interdentals						interdentals		0, because interdentals aren't [LABIAL], but [LABIAL] is monovalent, so they're not [-labial]
Phonological Features	medium	Day 10 Discussion		Explain what the given feature’s value is for this class of sounds, and why.	[consonantal]	glides						glides		[-], because the constriction isn't as narrow as it would be for a fricative
Phonological Features	easy	Day 10 Discussion		Explain why the given feature's value varies across this set of sounds.	[voice]	glottalized obstruents						gltotalized obstruents		includes both voiced and voiceless glottalized obstruents -- obs. can themselves be voiced or voiceless
Phonological Features	medium	Day 10 Discussion		Explain why the given feature's value varies across this set of sounds.	[sonorant]	alveolars						alveolars		can have both sonorant and obstruent alveolars (e.g. [n] vs. [s])
Phonological Features	medium	Day 10 Discussion		Explain why the given feature's value varies across this set of sounds.	[anterior]	fricatives						fricatives		can have both [+] and [-] anterior fricatives (e.g., [s] and [θ] are [+ant], [ʃ] is [-ant] -- extra good if they also notice you can have [0 ant] like [f], which isn't [CORONAL]
Phonological Features	easy	Day 10 Handout, Question 5		Explain why you either should or should not use phonological features in the INPUT of the given rule.	Vowel laxing: /i/ → [ɪ] / \{[ɛ], [ɔ]\} C$_0$\_\_									no; it's a single sound, so replacing it with features just makes it hard to read
Phonological Features	medium	Day 10 Handout, Question 5		Explain why you either should or should not use phonological features in the OUTPUT of the given rule.	Vowel laxing: /i/ → [ɪ] / \{[ɛ], [ɔ]\} C$_0$\_\_									yes; although it's a single sound, the sound is different from the input in exactly one way (it's lax instead of tense), so we want to capture that specific change (and only have to list one feature); it also helps us to see the naturalness of the rule, as the feature that is changing is related to the features that occur in the context
Phonological Features	easy	Day 10 Handout, Question 5		Explain why you either should or should not use phonological features in the CONTEXT of the given rule.	Vowel laxing: /i/ → [ɪ] / \{[ɛ], [ɔ]\} C$_0$\_\_									yes; you're trying to group multiple (in this case, two) sounds together, so it's good to use features to describe their commonality; it also helps us see the naturalness of the rule by pointing out the relevant part of the phonological context
Phonological Features	hard	Day 10 Handout, Question 6 (Day 7 Handout, Question 7)		Explain how you should use phonological features to combine these rules.	/s/ → [ʃ] / \_\_ [i] \\/z/ → [dʒ] / \_\_ [i]		japanese.png							input should be alveolar fricatives, output should be just a change in place of articulation; context is still [i]; something like [CORONAL, +strid] --> [-ant, +dist] / \_\_ [i]; note that this won't directly account for why the voiced one becomes an affricate
Phonological Features	hard	Day 10 Handout, Question 6 (Day 7 Handout, Question 8)		Explain how you should use phonological features in this rule. Which parts of the rule should include features, and which features should be used?	/ʊ/ → [ɯ] / [unrounded vowel] C$_0$ \_\_		tamil.png							input can be just a segment; output should be [-round], context should be [-round, +syllabic]
Phonological Features	hard	Day 10 Handout, Question 6 (Day 7 Handout, Question 10)		Explain how you should use phonological features in this rule. Which parts of the rule should include features, and what features might they be? You don't have to give an exact set of features, but what kinds of features would be involved?	/ð/ → [d] / \_\_ [a]		osage.png							input can be just a segment; output should be something like [-cont]; context can be a segment; this doesn't by itself account for the slight difference in place of articulation
Phonological Features	hard	Day 10 Handout, Question 6 (Day 7 Handout, Question 11)		Explain how you should use phonological features to combine these rules.	/pʰ/ → [p] / [s] \_\_\\/tʰ/ → [t] / [s] \_\_\\/kʰ/ → [k] / [s] \_\_		english_asp.png							input should be aspirated voiceless stops; output should lose the aspiration; context can just be an [s]; something like [-voice, -cont] --> [-spread glottis] / [s] \_\_
Phonological Features	hard	Day 10 Handout, Question 6 (Day 7 Handout, Question 12)		Explain how you should use phonological features to combine these rules.	/i/ → [ĩ] / \_\_ \{[m], [n]\}\\/u/ → [ũ] / \_\_ \{[m], [n]\}		english_nasalization.png							input, output, and context can all be features; something like [+syllabic] --> [+nasal] / \_\_ [+nasal]
Phonological Features	hard	Day 10 Handout, Question 6 (Day 9 Handout, Question 4)		Explain how you should use phonological features in this rule. Which parts of the rule should include features, and which features should be used?	/s/ → [ʃ] / \_\_ [i]		japanese_verbs.png						omit	output is only part that can be replaced with features; could be [-ant, +dist]
Phonological Features	hard	Day 10 Handout, Question 6 (Day 9 Handout, Question 5)		Explain how you should use phonological features in this rule. Which parts of the rule should include features, and what features might they be? You don't have to give an exact set of features, but what kinds of features would be involved?	/t/ → [ɾ] / \{[vowel],[syllabic consonant]\} \_\_ \{[vowel],[syllabic consonant]\}		english_t_flap.png							the output and the context should both be features; the input can stay as [t]: something like /t/ --> [+son, +voice] / [+syll] \_\_ [+syll]
Phonological Features	hard	Day 10 Handout, Question 6 (Day 9 Handout, Question 6)		Explain how you should use phonological features in this rule. Which parts of the rule should include features, and what features might they be? You don't have to give an exact set of features, but what kinds of features would be involved?	C → ∅ / \_\_ \#		samoan.png						omit	the input could be replaced with a feature, i.e., [+cons]...
Phonological Features	hard	Day 10 Handout, Question 6 (Homework 4, Question 2)		Explain how you should use phonological features in this rule. Which parts of the rule should include features, and what features might they be? You don't have to give an exact set of features, but what kinds of features would be involved?	∅ → [n] / [m] \_\_ V		english_stemalternations.png						omit	you could replace the context V with [+syllabic] maybe?
Phonological Features	hard	Day 10 Handout, Question 6 (Homework 4, Question 2)		Explain how you should use phonological features in this rule. Which parts of the rule should include features, and what features might they be? You don't have to give an exact set of features, but what kinds of features would be involved?	/n/ → ∅ / [m] \_\_ \#		english_stemalternations.png							you really can't use features for any of this, because it's all individual segments
Phonological Features	hard	Day 10 Handout, Question 6 (Homework 3, Question 2)		Explain how you should use phonological features in this rule. Which parts of the rule should include features, and what features might they be? You don't have to give an exact set of features, but what kinds of features would be involved?	/æ/ → [eʌ] / \_\_ \{[m],[n]\}		english_aeraising.png							output should show some kind of height difference; context should be [+nasal] -- e.g., /æ/ --> [+tense, -low, +diphthong] / \_\_ [+nasal]
Syllables	easy	Day 11 Discussion		Explain why the sonority sequencing principle would block the syllabification of [n] and [t] of [n.ta] into one syllable in Ponapean.										[n] is higher sonority than [t], and the SSP requires that segments increase in sonority as you get closer to the nucleus and decrease in sonority as you move away; [nte] would involve a dip and then a rise in sonority
Syllables	hard	Quiz 9, Question 12		Explain the key differences between the templatic and the rule-based approaches to syllabification.										in the rule-based approach, you ONLY have rules, so you don't know ahead of time what possible syllable types you might get; you also need to know which rules apply in a language and what the order of the rules is -- but in the templatic approach, you have a template that tells you ahead of time what the possible syllable types are, and you use the template in conjunction with rules; in the templatic approach, you also need to know the direction of syllabification (L to R or R to L), not the order of the rules [Note: should not mention anything about the units used in either approach)
Syllables	medium	Day 11 Handout, Question 1		Explain how these examples help support the overall syllable structure of a syllable consisting of an onset and rime, and the rime consisting of a nucleus and coda.			english_poetry.png							alliteration gives evidence for onsets, assonance for nuclei (including an entire diphthong); slant rhymes for codas; full rhymes for nucleus plus coda together -- but we don't have anything for "beginning of word through to and including the nculeus"
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	CV		ponapean_syllabletemplate.png						omit	allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	C		ponapean_syllabletemplate.png							not allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	CCV		ponapean_syllabletemplate.png							not allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	CVV		ponapean_syllabletemplate.png							allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	CVVC		ponapean_syllabletemplate.png							not allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	CVC		ponapean_syllabletemplate.png							allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	VC		ponapean_syllabletemplate.png							allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	VV		ponapean_syllabletemplate.png							allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	V		ponapean_syllabletemplate.png							allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	VCC		ponapean_syllabletemplate.png							not allowed
Syllables	easy	Day 11 Handout, Question 5		Explain why this template either does or does not allow syllables of this type to occur.	VVC		ponapean_syllabletemplate.png							not allowed
Syllables	medium	Day 11 Handout, Question 6		Explain why this structure either is or is not a correct application of the rule-based approach to syllabification, assuming that both the onset rule and the coda rule apply in this language, and the onset rule comes before the coda rule.			pengrules_kaprose_no.png		peng_rules.png		vertical			no -- the [p] should be in the onset because the onset rule precedes the coda rule
Syllables	medium	Day 11 Handout, Question 6		Explain why this structure either is or is not a correct application of the rule-based approach to syllabification, assuming that both the onset rule and the coda rule apply in this language, and the onset rule comes before the coda rule.			pengrules_tumigo_no.png		peng_rules.png		vertical			no -- the [g] should be in the onset because it's a simple onset (step b)
Syllables	medium	Day 11 Handout, Question 6		Explain why this structure either is or is not a correct application of the rule-based approach to syllabification, assuming that both the onset rule and the coda rule apply in this language, and the onset rule comes before the coda rule.			pengrules_fletoldu_no.png		peng_rules.png		vertical			no -- the [l] should be in the onset because the onset rule precedes the coda rule; yes, this violates sonority sequencing but no reference is made to that below
Syllables	medium	Day 11 Handout, Question 6		Explain why this structure either is or is not a correct application of the rule-based approach to syllabification, assuming that both the onset rule and the coda rule apply in this language, and the onset rule comes before the coda rule.			pengrules_kaprosse_yes.png		peng_rules.png		vertical			yes; the long [s] is part of the onset here because the onset rule applies before the coda rule
Syllables	medium	Day 11 Handout, Question 6		Explain why this structure either is or is not a correct application of the rule-based approach to syllabification, assuming that both the onset rule and the coda rule apply in this language, and the onset rule comes before the coda rule.			pengrules_uvkeman_yes.png		peng_rules.png		vertical			yes; the onset rule precedes the coda rule, which puts [v] into the onset (even though that violates sonority), but then we do get the [n] in coda position because it can't go into an onset, and the coda rule does apply
Syllables	medium	Day 11 Handout, Question 6		Explain why this structure either is or is not a correct application of the rule-based approach to syllabification, assuming that both the onset rule and the coda rule apply in this language, and the onset rule comes before the coda rule.			pengrules_tuumigo_yes.png		peng_rules.png		vertical	this one was a poll question	omit	yes; the long vowel is projected to a single Rime slot
Syllables	medium	Day 11 Handout, Question 8		Explain how you could modify the rule-based approach to take into account the sonority sequencing principle.			peng_rules.png							basically, you need to say something like: Modified onset rule: adjoin a consonant to the left of an onset to that onset, if the consonant has a LOWER sonority than the onset
Syllables	easy	Day 11 Handout, Question 10		Explain why this structure either is or is not a correct application of the templatic-based approach to syllabification, using the provided template and assuming that syllabification proceeds from left to right.			pengtemplate_tumigo_yes.png		peng_template_withdiagram.png		vertical			yes; this is just all CV syllables
Syllables	medium	Day 11 Handout, Question 10		Explain why this structure either is or is not a correct application of the templatic-based approach to syllabification, using the provided template and assuming that syllabification proceeds from left to right.			pengtemplate_kaprose_yes.png		peng_template_withdiagram.png		vertical			yes; all syllables allowed by template, and this is what you get going L to R
Syllables	medium	Day 11 Handout, Question 10		Explain why this structure either is or is not a correct application of the templatic-based approach to syllabification, using the provided template and assuming that syllabification proceeds from left to right.			pengtemplate_fletoldu_no.png		peng_template_withdiagram.png		vertical			no -- the initial consonant shouldn't be marked extrasyllabic accoridng to the notes provided
Syllables	medium	Day 11 Handout, Question 10		Explain why this structure either is or is not a correct application of the templatic-based approach to syllabification, using the provided template and assuming that syllabification proceeds from left to right.			pengtemplate_tuumigo_no.png		peng_template_withdiagram.png		vertical			no -- both moras of the long vowel should be associated with the first syllable, because the template allows long Vs
Syllables	medium	Day 11 Handout, Question 10		Explain why this structure either is or is not a correct application of the templatic-based approach to syllabification, using the provided template and assuming that syllabification proceeds from left to right.			pengtemplate_kaprosse_yes.png		peng_template_withdiagram.png		vertical			yes; all syllables allowed by template, and this is what you get going L to R
Syllables	medium	Day 11 Handout, Question 10		Explain why this structure either is or is not a correct application of the templatic-based approach to syllabification, using the provided template and assuming that syllabification proceeds from left to right.			pengtemplate_uvkeman_no.png		peng_template_withdiagram.png		vertical			no -- although all the syllables are allowed by the template, the final consonant should have been marked as extra-syllabic and not put into the coda
Alternations	easy	Day 11 Handout, Question 12		Explain why what you’re analyzing in the following dataset either is or is not an alternation.			yawelmani.png							it's not an alternation -- we don't have multiple *surface* forms of the same morpheme; the different forms are the UR and the SR, and so they are not predictable from phonological context (the SR is derived from the UR by rule)
