UniqueID	Topic	Difficulty	Source2020S	Source2020W	Source2021S	DateCompleted	QuestionType(s)	Instructions_latex	Data1_latex	Data2_latex	Image1	Image1Caption	Image2	Image2Caption	ImageArrangement	Notes	Omit?	Instructor_comments
QU1601510726987	Articulatory Phonetics	easy	n/a	Week 3 Discussion	Day 2 Discussion	2021-06-01		Describe what the tongue would do / where it would move during each of the vowels in this word.	<puny>									
QU1601510727715	Articulatory Phonetics	easy	n/a	Week 3 Discussion	Day 2 Discussion	2021-06-01		Describe what the tongue would do / where it would move during each of the vowels in this word.	<follow>									
QU1601510728341	Articulatory Phonetics	medium	n/a	Week 3 Discussion	Day 2 Discussion	2021-06-01		Describe what the tongue would do / where it would move during each of the vowels in this word.	<bookmark>									
QU1601510728955	Articulatory Phonetics	medium	n/a	Week 3 Discussion	Day 2 Discussion	2021-06-01		Describe what the tongue would do / where it would move during each of the vowels in this word.	<waitlist>									
QU1601510729574	Articulatory Phonetics	medium	n/a	Week 3 Discussion	Day 2 Discussion	2021-06-01		Describe what the tongue would do / where it would move during each of the vowels in this word.	<July>									
QU1601510730488	Articulatory Phonetics	medium	Quiz 2, Question 6	Quiz 2, Question 6	Quiz 2, Question 6	2021-06-01		In the pronunciation of this word, which sounds are obstruents and which are sonorants? Explain your answer.	<sonorant>									[sɔnoɹənt] -- sonorants: [ɔnoɹən] and obstruents: [st]
QU1601510730969	Articulatory Phonetics	medium	Quiz 2, Question 6	Quiz 2, Question 6	Quiz 2, Question 6	2021-06-01		In the pronunciation of this word, which sounds are obstruents and which are sonorants? Explain your answer.	<obstruent>									[ɑbstɹuənt] -- sonorants: [ɑɹuən] and obstruents: [bstt]
QU1601510731748	Articulatory Phonetics	medium	Quiz 2, Question 6	Quiz 2, Question 6	Quiz 2, Question 6	2021-06-01		In the pronunciation of this word, which sounds are obstruents and which are sonorants? Explain your answer.	<minimal>							only has one kind of sound and was the original answer	omit	[mɪnɪməl] -- sonorants: (all of them)
QU1601510732255	Articulatory Phonetics	medium	Quiz 2, Question 6	Quiz 2, Question 6	Quiz 2, Question 6	2021-06-01		In the pronunciation of this word, which sounds are obstruents and which are sonorants? Explain your answer.	<language>									[læŋɡwɪdʒ] -- sonorants: [læŋwɪ] and obstruents: [ɡdʒ]
QU1601510732851	Articulatory Phonetics	medium	Quiz 2, Question 6	Quiz 2, Question 6	Quiz 2, Question 6	2021-06-01		In the pronunciation of this word, which sounds are obstruents and which are sonorants? Explain your answer.	<fricative>									[fɹɪkətɪv] -- sonorants: [ɹɪəɪ] and obstruents: [fktv]
QU1601510733572	Articulatory Phonetics	medium	Quiz 2, Question 7	Quiz 2, Question 7	Quiz 2, Question 7	2021-06-01		Why might more than one of the descriptions given truthfully apply to the sound represented by the underlined letter, and why is one of them actually better than the other?	<a\underline{w}ay>	\begin{itemize} \item prevocalic obstruent \item prevocalic sonorant \item postvocalic obstruent \item postvocalic sonorant \item intervocalic obstruent \item intervocalic sonorant \end{itemize}								prevocalic and *intervocalic* sonorant
QU1601510734278	Articulatory Phonetics	medium	Quiz 2, Question 7	Quiz 2, Question 7	Quiz 2, Question 7	2021-06-01		Why might more than one of the descriptions given truthfully apply to the sound represented by the underlined letter, and why is one of them actually better than the other?	<o\underline{p}en>	\begin{itemize} \item prevocalic obstruent \item prevocalic sonorant \item postvocalic obstruent \item postvocalic sonorant \item intervocalic obstruent \item intervocalic sonorant \end{itemize}								prevocalic and *intervocalic* obstruent
QU1601510739887	Articulatory Phonetics	hard	n/a	Week 3 Handout, Question 3	Day 2 Handout, Part II, Question 3	2021-06-01		Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.	Original set: [æ], [ɑ]	Addition: [ɑʊ]						in sample summer 2021	omit	should recognize that there's more than one vowel sound, which makes it somewhat difficult to categorize; best answers will say that the diphthong is crucially a diphthong and so can't also go in this class
QU1601510740567	Articulatory Phonetics	hard	n/a	Week 3 Handout, Question 3	Day 2 Handout, Part II, Question 3	2021-06-01		Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.	Original set: [u], [ʊ], [oʊ], [ɔ]	Addition: [ɔɪ]								should recognize that there's more than one vowel sound, which makes it somewhat difficult to categorize; best answers will say that the diphthong is crucially a diphthong and so can't also go in this class
QU1601510741283	Articulatory Phonetics	hard	n/a	Week 3 Handout, Question 3	Day 2 Handout, Part II, Question 3	2021-06-01		Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.	Original set: [ɛ], [ɪ], [ʊ], [ɔ]	Addition: [æ]								new vowel is a low vowel; should recognize that there's more than one decision about low vowels and tenseness; default is to say it doesn't belong in the class because tenseness is irrelevant
QU1601510741825	Articulatory Phonetics	hard	n/a	Week 3 Handout, Question 3	Day 2 Handout, Part II, Question 3	2021-06-01		Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.	Original set: [æ], [ɑ]	Addition: [ɑɪ]								should recognize that there's more than one vowel sound, which makes it somewhat difficult to categorize; best answers will say that the diphthong is crucially a diphthong and so can't also go in this class
QU1601510742511	Articulatory Phonetics	hard	n/a	Week 3 Handout, Question 3	Day 2 Handout, Part II, Question 3	2021-06-01		Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.	Original set: [u], [ʊ], [oʊ], [ɔ]	Addition: [ɑʊ]								should recognize that there's more than one vowel sound, which makes it somewhat difficult to categorize; best answers will say that the diphthong is crucially a diphthong and so can't also go in this class
QU1601510743431	Articulatory Phonetics	hard	n/a	Week 3 Handout, Question 3	Day 2 Handout, Part II, Question 3	2021-06-01		Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.	Original set: [ɛ], [ɪ], [ʊ], [ɔ]	Addition: [ɑ]								new vowel is a low vowel; should recognize that there's more than one decision about low vowels and tenseness; default is to say it doesn't belong in the class because tenseness is irrelevant
QU1601510744232	Articulatory Phonetics	easy	Day 2 Handout, Part II, Question 7	Week 3 Handout, Question 7	Day 2 Handout, Part II, Question 7	2021-06-01		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not? Explain your answer.	[n]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								no (voiced alveolar nasal)
QU1601510744696	Articulatory Phonetics	easy	Day 2 Handout, Part II, Question 7	Week 3 Handout, Question 7	Day 2 Handout, Part II, Question 7	2021-06-01		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not? Explain your answer.	[h]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								yes (voiceless glottal fricative)
QU1601510745337	Articulatory Phonetics	easy	Day 2 Handout, Part II, Question 7	Week 3 Handout, Question 7	Day 2 Handout, Part II, Question 7	2021-06-01		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not? Explain your answer.	[v]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								yes (voiced labiodental fricative)
QU1601510745697	Articulatory Phonetics	easy	Day 2 Handout, Part II, Question 7	Week 3 Handout, Question 7	Day 2 Handout, Part II, Question 7	2021-06-01		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not? Explain your answer.	[θ]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								no (voiceless interdental fricative)
QU1601510746268	Articulatory Phonetics	easy	Day 2 Handout, Part II, Question 7	Week 3 Handout, Question 7	Day 2 Handout, Part II, Question 7	2021-06-01		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not? Explain your answer.	[ʃ]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								no (voiceless palatal fricative)
QU1601510746968	Articulatory Phonetics	easy	Day 2 Handout, Part II, Question 7	Week 3 Handout, Question 7	Day 2 Handout, Part II, Question 7	2021-06-01		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not? Explain your answer.	[ʒ]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								yes (voiced palatal fricative)
QU1601510747460	Articulatory Phonetics	easy	Day 2 Handout, Part II, Question 7	Week 3 Handout, Question 7	Day 2 Handout, Part II, Question 7	2021-06-01		Is the symbol given a reasonable way to transcribe any of the sounds described below? If so, which one? If not, why not? Explain your answer.	[t͡ʃ]	\begin{itemize} \item voiceless palatal affricate \item voiced velar nasal \item voiceless glottal fricative \item voiced labiodental fricative \item voiced interdental fricative \item voiced palatal fricative \end{itemize}								yes (voiceless palatal affricate)
QU1601510748214	Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9	Week 3 Handout, Question 9	Day 2 Handout, Part II, Question 9	2021-06-01		Explain how to figure out what the sound being produced is in this diagram.			sagittal_k.png							[k] (check voicing, place, manner, and velum)
QU1601510748765	Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9	Week 3 Handout, Question 9	Day 2 Handout, Part II, Question 9	2021-06-01		Explain how to figure out what the sound being produced is in this diagram.			sagittal_t.png							[t] (check voicing, place, manner, and velum)
QU1601510749365	Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9	Week 3 Handout, Question 9	Day 2 Handout, Part II, Question 9	2021-06-01		Explain how to figure out what the sound being produced is in this diagram.			sagittal_m.png							[m] (check voicing, place, manner, and velum)
QU1601510750507	Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9	Week 3 Handout, Question 9	Day 2 Handout, Part II, Question 9	2021-06-01		Explain how to figure out what the sound being produced is in this diagram.			sagittal_eth.png							[ð] (check voicing, place, manner, and velum)
QU1601510750679	Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9	Week 3 Handout, Question 9	Day 2 Handout, Part II, Question 9	2021-06-01		Explain how to figure out what the sound being produced is in this diagram.			sagittal_p.png							[p] (check voicing, place, manner, and velum)
QU1601510751084	Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 9	Week 3 Handout, Question 9	Day 2 Handout, Part II, Question 9	2021-06-01		Explain how to figure out what the sound being produced is in this diagram.			sagittal_z.png							[z] (check voicing, place, manner, and velum)
QU1601510752199	Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 13	Week 3 Handout, Question 13	Day 2 Handout, Part II, Question 13	2021-06-01	signlanguage	Explain why this image does or does not match the description.	\begin{itemize} \item A two-handed sign. \item Location: In front of signer’s chin. \item Handshape: Starts with an “L” shape; index finger and thumb come together during the sign. \item Movement: Hands start crossed and then move away from each other horizontally. \end{itemize}		taiwansign_fit.png	FIT						no; hands don't start crossed, and handshape change is wrong
QU1601510752739	Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 13	Week 3 Handout, Question 13	Day 2 Handout, Part II, Question 13	2021-06-01	signlanguage	Explain why this image does or does not match the description.	\begin{itemize} \item A two-handed sign. \item Location: In front of signer’s chin. \item Handshape: Starts with an “L” shape; distal joints of index fingers fold in during the sign. \item Movement: Hands start apart and then move straight toward each other horizontally. \end{itemize}		taiwansign_consistent.png	CONSISTENT						no; hands don't start apart, and handshape change is wrong
QU1601511598713	Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 13	Week 3 Handout, Question 13	Day 2 Handout, Part II, Question 13	2021-06-01	signlanguage	Explain why this image does or does not match the description.	\begin{itemize} \item A one-handed sign. \item Location: At the signer’s nose. \item Handshape: Starts with index finger extended; finger folds down into a “hook” shape during the sign; then straightens and repeats the folding. \item Movement: No movement other than the change in handshape. \end{itemize}		taiwansign_wrong.png	WRONG						no; handshape is wrong
QU1601510753560	Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 13	Week 3 Handout, Question 13	Day 2 Handout, Part II, Question 13	2021-06-01	signlanguage	Explain why this image does or does not match the description.	\begin{itemize} \item A one-handed sign. \item Location: In front of signer’s chin. \item Handshape: Starts with an “L” shape; proximal joint of index finger folds down during the sign. \item Movement: Hand starts on far side of signer’s body and moves horizontally straight across. \end{itemize}		taiwansign_jealous.png	JEALOUS						no; handshape and movement are wrong
QU1601510754142	Articulatory Phonetics	medium	Day 2 Handout, Part II, Question 13	Week 3 Handout, Question 13	Day 2 Handout, Part II, Question 13	2021-06-01	signlanguage	Explain why this image does or does not match the description.	\begin{itemize} \item A one-handed sign. \item Location: At the signer’s nose. \item Handshape: Starts with index and middle finger crossed; the two fingers separate during the sign. \item Movement: No movement other than the change in handshape. \end{itemize}		taiwansign_thing.png	THING						no; location, movement, and handshape are all wrong
QU1601510754700	Articulatory Phonetics	hard	Homework 1, Question 3(a)	Homework 1, Question 3(a)	Homework 1, Question 3(a)	2021-06-01		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[d]		staticpalatography_fricative.png							no; space
QU1601510755742	Articulatory Phonetics	hard	Homework 1, Question 3(a)	Homework 1, Question 3(a)	Homework 1, Question 3(a)	2021-06-01		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[z]		staticpalatography_fricative.png							yes
QU1601510756413	Articulatory Phonetics	hard	Homework 1, Question 3(a)	Homework 1, Question 3(a)	Homework 1, Question 3(a)	2021-06-01		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[n]		staticpalatography_stop.png							yes
QU1601511584705	Articulatory Phonetics	hard	Homework 1, Question 3(a)	Homework 1, Question 3(a)	Homework 1, Question 3(a)	2021-06-01		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[t͡ʃ]		staticpalatography_stop.png							yes
QU1601510757137	Articulatory Phonetics	hard	Homework 1, Question 3(a)	Homework 1, Question 3(a)	Homework 1, Question 3(a)	2021-06-01		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[t͡ʃ]		staticpalatography_fricative.png							no
QU1601510757713	Articulatory Phonetics	hard	Homework 1, Question 3(a)	Homework 1, Question 3(a)	Homework 1, Question 3(a)	2021-06-01		Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?	[ɾ]		staticpalatography_stop.png							yes
QU1601510758361	Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2021-06-01	natclass	Explain why this is or is not a complete phonetic natural class in standard North American English.	[p], [t], [k]							used as example	omit	no; voiceless stops include glottal stop
QU1601510759034	Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2021-06-01	natclass	Explain why this is or is not a complete phonetic natural class in standard North American English.	[p], [b]									yes for bilabial plosives; (no) for bilabial stops (nasal?)
QU1601510759576	Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2021-06-01	natclass	Explain why this is or is not a complete phonetic natural class in standard North American English.	[f], [s], [ʃ]							in sample summer 2021	omit	no; voiceless fricatives include [θ], [h]
QU1601510760275	Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2021-06-01	natclass	Explain why this is or is not a complete phonetic natural class in standard North American English.	[b], [n], [ɡ], [ʒ], [v]									no; lots of other voiced consonants
QU1601510760800	Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2021-06-01	natclass	Explain why this is or is not a complete phonetic natural class in standard North American English.	[f], [θ], [z], [h]									no; several fricatives missing
QU1601510761570	Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2021-06-01	natclass	Explain why this is or is not a complete phonetic natural class in standard North American English.	[j], [w]									yes for voiced glides; [w̥] missing for glides
QU1601510762084	Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2021-06-01	natclass	Explain why this is or is not a complete phonetic natural class in standard North American English.	[ɑ], [u]									no; several back vowels / back monophthongs missing
QU1601510762686	Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2021-06-01	natclass	Explain why this is or is not a complete phonetic natural class in standard North American English.	[ɔ], [ʊ], [u], [oʊ]									yes (all back rounded vowels)
QU1601510763310	Articulatory Phonetics	medium	Homework 1, Question 3(b)	Homework 1, Question 3(b)	Homework 1, Question 3(b)	2021-06-01	natclass	Explain why this is or is not a complete phonetic natural class in standard North American English.	[i], [u], [eɪ]									no; [oʊ] missing for tense vowels
QU1601510577830	Other (pre-midterm)	easy	Quiz 1, Question 7	Quiz 1, Question 7	Quiz 1, Question 7	2021-06-01		Is this sentence prescriptive or descriptive? Explain why.	People speaking standard North American English use <doesn't> with the pronoun <he>, as in ``He doesn't seem concerned today.''									
QU1601510596453	Other (pre-midterm)	easy	Quiz 1, Question 7	Quiz 1, Question 7	Quiz 1, Question 7	2021-06-01		Is this sentence prescriptive or descriptive? Explain why.	People who say <ain't> may suffer some negative social consequences, because many speakers of English associate <ain't> with a lack of education.									
QU1601510627533	Other (pre-midterm)	easy	Quiz 1, Question 7	Quiz 1, Question 7	Quiz 1, Question 7	2021-06-01		Is this sentence prescriptive or descriptive? Explain why.	In casual styles of speaking, English speakers frequently end sentences with prepositions, but ending sentences with prepositions is avoided in formal styles.									
QU1601510596966	Other (pre-midterm)	easy	Quiz 1, Question 7	Quiz 1, Question 7	Quiz 1, Question 7	2021-06-01		Is this sentence prescriptive or descriptive? Explain why.	Saying ``Between you and me'' is correct; saying ``Between you and I'' is ungrammatical.									
QU1601510628874	Other (pre-midterm)	medium	n/a	Week 2 Handout, Part I, Question 1	Day 1 Handout, Part II, Question 12	2021-06-01	phonphon	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)	What do you think the difference is between vowels and consonants?									
QU1601510597364	Other (pre-midterm)		n/a	Week 2 Handout, Part I, Question 2	Day 1 Handout, Part II, Question 12	2021-06-01	phonphon	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)	How many syllables does the word <eon> have? How many vowels does it have? Try saying it over and over as fast as you can: eon – eon – eon – eon – eon... Does it still have the same number of syllables? the same number of vowels?								omit	
QU1601510630219	Other (pre-midterm)		n/a	Week 2 Handout, Part I, Question 3	Day 1 Handout, Part II, Question 12	2021-06-01	phonphon	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)	Consider the name <Santiago>, and a common nickname for this name, <Tiago>. How many syllables are there in <Tiago>? What sound does this name start with? What happens if you say <Tiago> over and over as fast as you can? Do your answers to either of the above questions change?								omit	
QU1601510597535	Other (pre-midterm)		n/a	Week 2 Handout, Part I, Question 4	Day 1 Handout, Part II, Question 12	2021-06-01	signlanguage, phonphon	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)	Consider the following two signs from two different sign languages (British Sign Language first and American Sign Language second). The arrows in the one on the left indicate that the signer’s hands move up and down. For the sign on the right, the signer gently hits her hip first (as indicated by the fainter tracing of this position) and then snaps the fingers on her hand. Both signs mean the same thing. What do you think they mean? Here are some choices: \begin{itemize} \item WALK \item LEGS \item DOG \item FINGERS \item RHYTHM \end{itemize}		bsl_dog.png		asl_dog.png				omit	
QU1601510631193	Other (pre-midterm)	easy	n/a	Week 2 Handout, Part I, Question 5	Day 1 Handout, Part II, Question 12	2021-06-01	phonphon	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)	Try producing an [s] for a long time ([sssssssssssssss]). How long can you let it out? What do you have to do physically to make it last longer?									phonetics
QU1601510598189	Other (pre-midterm)	easy	n/a	Week 2 Handout, Part I, Question 6	Day 1 Handout, Part II, Question 12	2021-06-01	phonphon	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)	How would you describe the differences between an [s] and an [f]? what about between [s] and [t]? or between [s] and [z]? Think about how they sound, how it feels to produce them, how they look when you see other people producing them, etc.									phonetics
QU1601510602976	Other (pre-midterm)	medium	n/a	Week 2 Handout, Part I, Question 7	Day 1 Handout, Part II, Question 12	2021-06-01	phonphon	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)	How would you describe the difference between the vowel in the word <heat> and the vowel in the word <hat>?									phonetics
QU1601510632199	Other (pre-midterm)	medium	n/a	Week 2 Handout, Part I, Question 8	Day 1 Handout, Part II, Question 12	2021-06-01	signlanguage, phonphon	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)	Consider the following two words from American Sign Language. The first one means LUCKY, while the second means SMART. How would you describe the difference between the ``pronunciation'' (articulation) of these two words? Note that in each case, the image to the left is the starting position of the sign, while the one to the right is the ending position.		asl_lucky.png		asl_smart.png					phonetics
QU1601510603662	Other (pre-midterm)	easy	n/a	Week 2 Handout, Part I, Question 9	Day 1 Handout, Part II, Question 12	2021-06-01	phonphon	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)	Which is louder, the vowel sound [ah] or the consonant sound [f]? Why do you think that is?									phonetics
QU1601510633116	Other (pre-midterm)	easy	n/a	Week 2 Handout, Part I, Question 10	Day 1 Handout, Part II, Question 12	2021-06-01	phonphon	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)	Consider the following pairs of words. In each pair, if you had to pick one of the two words for the name of a new product in English, which would you pick, and why? \begin{itemize} \item <bnick> or <blick> \item <rmagl> or <glarm> \item <ngitf> or <sfing> \end{itemize}									phonology
QU1601510604151	Other (pre-midterm)	medium	n/a	Week 2 Handout, Part I, Question 11	Day 1 Handout, Part II, Question 12	2021-06-01	phonphon	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)	In a word like ``syllable'' there is a main stress on the first syllable of the word. Where do you think the main stress would go in each of the following words? What are the possible choices? How does the pronunciation of the words change with different stress patterns? \begin{itemize} \item Pataskala (a town in Ohio) \item Menomini (an Algonquin language spoken by the Menomini people of northern Wisconsin) \item allophony \item Chickasha (a town in Wisconsin) \end{itemize}								omit	
QU1601510634408	Other (pre-midterm)	medium	n/a	Week 2 Handout, Part I, Question 12	Day 1 Handout, Part II, Question 12	2021-06-01	phonphon	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)	What’s the difference in sound between the words <but> and <cut> in English? Is that the same difference as between <bit> and <kit>? Why or why not?									both
QU1601510604615	Other (pre-midterm)		n/a	Week 2 Handout, Part I, Question 14	Day 1 Handout, Part II, Question 12	2021-06-01	phonphon	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)	What are some characteristics of Canadian English that make it sound different from other varieties of English? To get you started: think about words such as <Toronto>, <house>, <light>, <tomorrow>, <hashtag>, <decal>, <vase>, <been>, <against>, or <avocado>.								omit	
QU1601510734921	Other (pre-midterm)	easy	Quiz 2, Question 11	Quiz 3, Question 14	Quiz 2, Question 11	2021-06-01	morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<Eiffel> (as in Eiffel Tower)									
QU1601510735665	Other (pre-midterm)	easy	Quiz 2, Question 11	Quiz 3, Question 14	Quiz 2, Question 11	2021-06-01	morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<disobeyed>									
QU1601510736301	Other (pre-midterm)	easy	Quiz 2, Question 11	Quiz 3, Question 14	Quiz 2, Question 11	2021-06-01	morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<eyeglasses>									
QU1601510736909	Other (pre-midterm)	easy	Quiz 2, Question 11	Quiz 3, Question 14	Quiz 2, Question 11	2021-06-01	morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<island>									
QU1601510737859	Other (pre-midterm)	easy	Quiz 2, Question 11	Quiz 3, Question 14	Quiz 2, Question 11	2021-06-01	morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<eyes>									
QU1601510738585	Other (pre-midterm)	easy	Quiz 2, Question 11	Quiz 3, Question 14	Quiz 2, Question 11	2021-06-01	morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<eyeful>									
QU1601510739049	Other (pre-midterm)	easy	Quiz 2, Question 11	Quiz 3, Question 14	Quiz 2, Question 11	2021-06-01	morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<spyglass>									
