Person	Topic	Difficulty	Source	Question_latex	Image1	Image1Caption	Image2	Image2Caption
62089	Skewed Distributions	medium	Quiz 3, Question 2	L$_X$ (Language X) has three vowels, [i], [a], and [u]. L$_X$ has tri-syllabic roots. If L$_X$ does not allow non-identical high vowels to co-occur, which one of the following tri-syllabic vocalic sequences do you predict to be unattested in L$_X$? Explain why.\\~\\\begin{itemize} \item {[u...i...a]} \item {[a...i...a]} \item {[u...u...a]} \item {[a...i...i]} \end{itemize}~\\ 				
62089	Other (pre-midterm)	hard	Day 4 \& 6 Handouts	Explain how you could analyze this dataset in terms of sequential patterns vs. paradigmatic patterns.\\~\\\begin{figure}[H] \includegraphics{../images/ukrainian.png} \end{figure}~\\	ukrainian.png			
51967	Other (pre-midterm)	hard	Day 3 Handout, Question 5	Explain what we mean by saying that linguistic patterns are \underline{productive}.\\~\\ 				
51967	Transcription	medium	Day 2 Handout, Part I, Question 11	How would this word be transcribed?\\ Explain how you chose the symbol you used for the first consonant sound in this word.\\~\\<puny>~\\ 				
55084	Transcription	hard	Day 2 Handout	Is this a reasonable transcription of this word? Explain why.\\~\\<mouse>: {[mɔɪs]}~\\ 				
55084	Skewed Distributions	medium	Day 4 Handout, Question 4	Explain why it's not reasonable to make any of the following claims about Phonologese.\\~\\\begin{figure}[H] \includegraphics{../images/Phonologese.png} \end{figure}~\\	Phonologese.png			
60467	Phonological Relationships and Analysis	medium	Day 7 Handout, Question 2	Explain whether the rule below would apply to the form shown, and if so, what the effect of the rule would be. Assume the vowel inventory [i], [ɪ], [e], [ɛ], [ɑ], [u], [ʊ], [o], [ɔ]. If the rule doesn't apply, explain why it doesn't.\\~\\/ʊsɔm/~\\{[high vowel]} --> {[unround, front]} / {[front vowel]} C$_0$ \_\_\_~\\ 				
60467	Skewed Distributions	hard	Day 4 Handout, Question 5	Explain why looking for patterns with consonants and vowels is a more reasonable approach to pattern finding in this dataset than looking for patterns with respect to all of the individual sounds in Ukrainian.\\~\\\begin{figure}[H] \includegraphics{../images/ukrainian.png} \end{figure}~\\	ukrainian.png			
74654	Articulatory Phonetics	hard	Homework 1, Question 3(a)	Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?\\~\\{[t͡ʃ]}~\\\begin{figure}[H] \includegraphics{../images/staticpalatography_stop.png} \end{figure}~\\	staticpalatography_stop.png			
74654	Phonological Relationships and Analysis	medium	Quiz 4, Question 5	What phonological relationship(s) does this example show among the sounds [m], [n], and [ŋ], and why?\\~\\\begin{figure}[H] \includegraphics{../images/quiz4question5_a.png} \end{figure}~\\	quiz4question5_a.png			
43672	Transcription	hard	Day 2 Handout	Is this a reasonable transcription of this word? Explain why.\\~\\<mine>: {[mɑɪn]}~\\ 				
43672	Other (pre-midterm)	medium	Day 3 Handout, Question 3	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT necessarily need to give me the form itself -- just explain the process of figuring it out.)\\~\\‘sun’ (or ‘the sun’)~\\\begin{figure}[H] \includegraphics{../images/luiseno.png} \end{figure}~\\	luiseno.png			
